FDATETIME,AREANAME,CUST_ID,CUST_NAME,AREA_ID,FSTREAMID,FDVC,FP,FT
2020-01-05 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,19.66,1.7122,28.38
2020-01-05 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,17.79,1.7216,28.29
2020-01-05 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,15.83,1.9049,28.15
2020-01-05 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,12.21,2.1886,27.96
2020-01-05 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,11.42,2.3892,27.84
2020-01-05 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,6.36,2.2797,27.75
2020-01-05 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,13.42,2.0311,27.72
2020-01-05 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,38.11,1.7122,27.72
2020-01-05 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,38.33,1.7018,28.0
2020-01-05 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,65.92,1.703,27.79
2020-01-05 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,68.44,1.6981,28.08
2020-01-05 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,55.5,1.6981,28.35
2020-01-05 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,60.69,1.7,28.37
2020-01-05 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,57.13,1.6981,28.65
2020-01-05 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,56.13,1.6978,28.77
2020-01-05 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,54.06,1.6975,28.88
2020-01-05 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,52.95,1.698,28.92
2020-01-05 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,60.62,1.6983,28.9
2020-01-05 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,58.92,1.6976,28.86
2020-01-05 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,63.58,1.699,28.81
2020-01-05 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,59.16,1.699,28.75
2020-01-05 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,40.84,1.701,28.7
2020-01-05 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,31.91,1.7052,28.58
2020-01-05 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,20.72,1.708,28.41
2020-01-06 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,15.2,1.7154,28.28
2020-01-06 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,11.8,1.7775,28.1
2020-01-06 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,7.8,2.1179,27.95
2020-01-06 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,8.27,2.4273,27.82
2020-01-06 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,8.11,2.5114,27.73
2020-01-06 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,8.91,2.2574,27.64
2020-01-06 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,9.41,1.8836,27.21
2020-01-06 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,39.18,1.7114,26.89
2020-01-06 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,46.48,1.7025,27.22
2020-01-06 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,67.26,1.7012,27.85
2020-01-06 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,71.77,1.697,28.32
2020-01-06 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,67.27,1.6959,28.78
2020-01-06 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,81.54,1.6965,28.91
2020-01-06 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,61.15,1.6924,29.22
2020-01-06 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,50.85,1.697,29.27
2020-01-06 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,48.95,1.6985,29.08
2020-01-06 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,54.06,1.6986,29.02
2020-01-06 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,52.08,1.6981,28.94
2020-01-06 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,63.79,1.6991,28.56
2020-01-06 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,66.18,1.698,28.35
2020-01-06 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,59.07,1.6983,28.42
2020-01-06 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,43.77,1.701,28.41
2020-01-06 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,31.78,1.7048,28.35
2020-01-06 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,21.71,1.7084,28.18
2020-01-07 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,11.5,1.7151,27.99
2020-01-07 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,10.89,1.7706,27.83
2020-01-07 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,8.23,1.8878,27.69
2020-01-07 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,9.01,1.8139,27.56
2020-01-07 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,7.01,2.2183,27.39
2020-01-07 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,6.52,2.4613,27.24
2020-01-07 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,12.48,1.9313,27.04
2020-01-07 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,38.65,1.71,26.95
2020-01-07 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,45.9,1.7017,27.5
2020-01-07 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,73.3,1.6996,28.18
2020-01-07 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,68.41,1.6946,28.77
2020-01-07 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,73.29,1.6951,29.32
2020-01-07 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,81.77,1.6939,29.42
2020-01-07 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,64.11,1.6911,29.29
2020-01-07 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,54.05,1.6949,29.28
2020-01-07 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,54.71,1.6971,28.85
2020-01-07 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,59.64,1.6968,28.7
2020-01-07 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,55.51,1.6965,28.78
2020-01-07 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,61.44,1.6975,28.81
2020-01-07 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,69.27,1.6975,28.72
2020-01-07 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,61.2,1.6966,28.64
2020-01-07 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,47.7,1.6991,28.6
2020-01-07 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,32.22,1.7025,28.53
2020-01-07 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,22.82,1.7079,28.39
2020-01-08 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,15.01,1.7149,28.23
2020-01-08 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,14.53,1.7446,28.03
2020-01-08 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,13.27,1.9511,27.86
2020-01-08 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,7.51,2.3076,27.75
2020-01-08 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,5.23,2.6408,27.68
2020-01-08 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,5.07,2.4964,27.59
2020-01-08 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,14.52,1.8329,27.49
2020-01-08 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,40.96,1.7052,27.48
2020-01-08 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,42.96,1.6998,27.94
2020-01-08 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,71.02,1.6991,28.44
2020-01-08 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,66.52,1.6941,28.89
2020-01-08 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,68.76,1.6946,29.15
2020-01-08 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,75.25,1.6946,29.08
2020-01-08 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,59.42,1.6929,29.03
2020-01-08 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,51.91,1.6959,29.02
2020-01-08 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,50.81,1.6961,29.0
2020-01-08 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,53.69,1.6963,28.97
2020-01-08 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,57.53,1.6963,28.92
2020-01-08 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,59.01,1.6961,28.88
2020-01-08 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,67.14,1.6971,28.83
2020-01-08 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,60.04,1.6963,28.81
2020-01-08 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,46.99,1.6986,28.78
2020-01-08 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,29.9,1.7017,28.72
2020-01-08 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,20.76,1.7045,28.61
2020-01-09 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,17.56,1.7065,28.49
2020-01-09 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,12.27,1.7079,28.39
2020-01-09 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,12.44,1.7094,28.13
2020-01-09 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,10.35,1.7084,27.71
2020-01-09 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,11.96,1.7102,27.51
2020-01-09 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,10.35,1.7077,27.45
2020-01-09 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,14.38,1.709,27.44
2020-01-09 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,41.66,1.707,27.44
2020-01-09 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,38.6,1.7015,27.79
2020-01-09 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,68.24,1.702,27.94
2020-01-09 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,66.59,1.6966,28.24
2020-01-09 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,76.37,1.6966,28.49
2020-01-09 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,79.48,1.6944,28.62
2020-01-09 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,65.67,1.6931,28.75
2020-01-09 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,53.73,1.6954,28.81
2020-01-09 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,49.41,1.6968,28.82
2020-01-09 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,55.46,1.6971,28.84
2020-01-09 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,60.26,1.6961,28.85
2020-01-09 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,67.75,1.6961,28.82
2020-01-09 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,66.19,1.6954,28.78
2020-01-09 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,57.66,1.6963,28.75
2020-01-09 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,48.15,1.6986,28.67
2020-01-09 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,28.99,1.7018,28.52
2020-01-09 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,23.7,1.706,28.3
2020-01-10 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,20.99,1.707,28.05
2020-01-10 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,17.79,1.7082,27.84
2020-01-10 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,15.07,1.709,27.49
2020-01-10 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,11.04,1.7095,27.05
2020-01-10 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,13.13,1.7117,26.8
2020-01-10 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,12.16,1.709,26.7
2020-01-10 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,22.65,1.709,26.7
2020-01-10 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,46.24,1.7057,26.84
2020-01-10 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,50.96,1.7017,27.39
2020-01-10 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,74.48,1.7003,27.77
2020-01-10 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,72.99,1.6963,28.19
2020-01-10 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,73.38,1.6965,28.44
2020-01-10 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,85.98,1.6958,28.66
2020-01-10 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,70.18,1.6928,28.8
2020-01-10 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,60.79,1.6958,28.69
2020-01-10 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,53.21,1.6968,28.67
2020-01-10 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,57.71,1.6983,28.41
2020-01-10 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,64.09,1.6978,28.22
2020-01-10 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,62.38,1.6973,28.26
2020-01-10 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,75.31,1.6985,28.27
2020-01-10 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,67.74,1.6973,28.29
2020-01-10 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,53.73,1.6995,28.15
2020-01-10 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,39.84,1.7028,28.03
2020-01-10 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,28.75,1.7057,27.84
2020-01-11 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,23.45,1.7077,27.67
2020-01-11 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,17.32,1.7089,27.48
2020-01-11 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,15.23,1.7094,27.31
2020-01-11 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,12.01,1.7106,27.15
2020-01-11 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,14.91,1.7116,26.98
2020-01-11 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,14.75,1.7095,26.91
2020-01-11 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,15.39,1.7094,26.94
2020-01-11 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,44.15,1.7085,26.96
2020-01-11 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,47.75,1.7025,27.43
2020-01-11 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,73.17,1.7015,27.99
2020-01-11 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,68.46,1.6966,28.39
2020-01-11 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,68.46,1.697,28.73
2020-01-11 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,70.58,1.6968,28.72
2020-01-11 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,67.2,1.6953,28.96
2020-01-11 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,64.68,1.6954,29.09
2020-01-11 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,56.74,1.6956,28.97
2020-01-11 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,57.87,1.6968,28.96
2020-01-11 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,57.45,1.6968,28.89
2020-01-11 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,63.08,1.6978,28.78
2020-01-11 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,67.41,1.698,28.66
2020-01-11 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,62.53,1.698,28.6
2020-01-11 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,49.98,1.6998,28.52
2020-01-11 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,36.55,1.7032,28.42
2020-01-11 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,30.3,1.706,28.33
2020-01-12 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,24.02,1.7067,28.23
2020-01-12 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,20.82,1.7075,28.15
2020-01-12 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,16.81,1.7085,28.02
2020-01-12 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,13.74,1.7095,27.86
2020-01-12 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,10.85,1.71,27.73
2020-01-12 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,10.03,1.7116,27.63
2020-01-12 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,14.87,1.7102,27.49
2020-01-12 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,45.68,1.7084,27.46
2020-01-12 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,45.78,1.7015,27.8
2020-01-12 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,73.47,1.7012,28.25
2020-01-12 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,69.28,1.6948,28.76
2020-01-12 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,64.74,1.6954,29.08
2020-01-12 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,66.78,1.6954,29.39
2020-01-12 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,66.41,1.6948,29.4
2020-01-12 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,61.15,1.6946,28.94
2020-01-12 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,61.93,1.6948,28.88
2020-01-12 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,54.8,1.6946,28.98
2020-01-12 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,54.52,1.6961,28.92
2020-01-12 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,56.62,1.6968,28.86
2020-01-12 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,65.58,1.6973,28.8
2020-01-12 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,53.38,1.6966,28.73
2020-01-12 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,43.03,1.7003,28.65
2020-01-12 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,25.93,1.7027,28.54
2020-01-12 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,21.12,1.7065,28.37
2020-01-13 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,15.82,1.7077,28.23
2020-01-13 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,10.19,1.7095,28.1
2020-01-13 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,9.23,1.7124,27.97
2020-01-13 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,5.66,1.7122,27.89
2020-01-13 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,8.89,1.7131,27.79
2020-01-13 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,8.89,1.7092,27.72
2020-01-13 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,14.68,1.7094,27.67
2020-01-13 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,36.52,1.7064,27.67
2020-01-13 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,49.4,1.7017,27.88
2020-01-13 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,75.75,1.6995,28.32
2020-01-13 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,68.38,1.6946,28.58
2020-01-13 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,69.24,1.6954,28.83
2020-01-13 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,77.42,1.6946,29.05
2020-01-13 13:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,64.44,1.6923,29.14
2020-01-13 14:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,54.23,1.6948,29.22
2020-01-13 15:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,49.71,1.6958,29.36
2020-01-13 16:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,55.49,1.6971,28.99
2020-01-13 17:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,59.17,1.6966,28.74
2020-01-13 18:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,57.78,1.6966,28.75
2020-01-13 19:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,68.15,1.6978,28.73
2020-01-13 20:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,60.89,1.697,28.71
2020-01-13 21:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,40.98,1.6998,28.68
2020-01-13 22:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,31.86,1.7042,28.62
2020-01-13 23:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,21.28,1.7062,28.51
2020-01-14 00:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,14.22,1.7089,28.38
2020-01-14 01:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,11.8,1.7109,28.2
2020-01-14 02:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,8.91,1.7117,28.06
2020-01-14 03:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,8.26,1.7144,27.92
2020-01-14 04:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,7.29,1.7141,27.81
2020-01-14 05:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,4.7,1.7121,27.71
2020-01-14 06:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,14.86,1.7139,27.64
2020-01-14 07:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,42.26,1.7075,27.62
2020-01-14 08:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,44.45,1.7013,28.01
2020-01-14 09:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,70.45,1.7012,28.54
2020-01-14 10:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,68.29,1.6958,28.88
2020-01-14 11:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,76.81,1.6956,29.23
2020-01-14 12:00:00,Jakarta,0110011271,"BAKRIE PESONA RASUNA, PT",011,1,73.72,1.6938,29.3
